rmse,mae,r2,val_loss,"param_
    'filters_conv1': [16, 32, 48, 64, 80, 96, 112, 128],
    'kernel_size_conv1': [2, 3, 4, 5, 6, 8],
    'activation_conv1': ['sigmoid', 'tanh', 'relu'],
    'filters_conv2': [16, 32, 48, 64, 80, 96, 128, 256, 384, 512],
    'kernel_size_conv2': [2, 3, 4, 5, 6, 8, 10],
    'activation_conv2': ['sigmoid', 'tanh', 'relu'],
    'dense_neurons': [20, 40, 60, 80, 100, 200, 300, 400, 500],
    'learning_rate': [0.001],
    'batch_size': [32],
    'epochs': [3, 4, 5, 6, 9, 15]
filters_conv1",param_activation_conv1,param_activation_conv2,param_batch_size,param_dense_neurons,param_epochs,param_filters_conv2,param_kernel_size_conv1,param_kernel_size_conv2,param_learning_rate
16.596734168530297,13.12139944076538,0.8404908019338223,272.7362060546875,16,sigmoid,sigmoid,32,20,4,16,2,2,0.001
18.301059908032766,14.131788687705994,0.8060485900282197,304.5107727050781,16,sigmoid,sigmoid,32,20,4,16,2,5,0.001
16.94789494792094,12.783039872646333,0.8336694657397616,254.30560302734375,16,sigmoid,sigmoid,32,20,4,16,2,10,0.001
16.8255827044938,13.1721941447258,0.8360616034089887,283.1002197265625,16,sigmoid,sigmoid,32,20,4,16,3,2,0.001
16.658779839485454,12.377581663131714,0.8392959458314356,273.2425842285156,16,sigmoid,sigmoid,32,20,4,16,3,5,0.001
17.261415483802665,13.70908148765564,0.8274586196291471,271.63555908203125,16,sigmoid,sigmoid,32,20,4,16,3,10,0.001
17.407084947250524,12.8975847697258,0.8245341707556866,297.321044921875,16,sigmoid,sigmoid,32,20,4,16,6,2,0.001
17.03995891582841,13.077103967666625,0.8318574837074436,288.1241455078125,16,sigmoid,sigmoid,32,20,4,16,6,5,0.001
16.942463809543977,12.945206260681152,0.8337760535377382,252.3759307861328,16,sigmoid,sigmoid,32,20,4,16,6,10,0.001
16.236087078167824,12.557319760918617,0.847347753640548,263.61053466796875,16,sigmoid,sigmoid,32,20,4,32,2,2,0.001
16.877377061044513,12.59133511543274,0.8350507435763119,284.8458557128906,16,sigmoid,sigmoid,32,20,4,32,2,5,0.001
16.830181821103217,12.442600936889649,0.8359719690870734,242.81015014648438,16,sigmoid,sigmoid,32,20,4,32,2,10,0.001
16.803167856845704,12.505184034407138,0.8364981061538562,277.6658020019531,16,sigmoid,sigmoid,32,20,4,32,3,2,0.001
16.918052548452135,13.175419399738312,0.8342547103543964,269.7244873046875,16,sigmoid,sigmoid,32,20,4,32,3,5,0.001
